ciclo,Codigo,Curso,Creditos,HT,HP,HL,TH,
1,101,ANÁLISIS MATEMÁTICO,4,3,2,0,5,
1,102,MECÁNICA,3,2,2,0,4,
1,103,QUÍMICA GENERAL,3,2,2,0,4,
1,104,DISEÑO GRÁFICO,3,1,4,0,5,
1,105,TEORÍA GENERAL DE SISTEMAS,4,3,2,0,5,
1,106,LENGUA CASTELLANA,3,2,2,0,4,
1,107,NTACs NUEVAS TECNOLOGÍAS DE APRENDIZAJE,3,2,2,0,4,
2,151,CÁLCULO DIFERENCIAL,4,3,2,0,5,
2,152,ELECTRICIDAD Y MAGNETISMO,4,3,2,0,5,
2,153,ESTADÍSTICA DESCRIPTIVA,4,3,2,0,5,
2,154,PROGRAMACIÓN ORIENTADA A OBJETOS,4,3,2,0,5,
2,155,METODOLOGÍA DE LOS SISTEMAS BLANDOS,3,2,2,0,4,
2,156,COMPRENSIÓN Y REDACCIÓN DE TEXTOS,3,2,2,0,4,
2,157,INGLES I,2,2,0,0,2,
3,201,CÁLCULO INTEGRAL Y ECUACIONES DIFERENCIALES,4,3,2,0,5,
3,202,CONTABILIDAD GENERAL,4,3,2,0,5,
3,203,ESTADÍSTICA INFERENCIAL,4,3,2,0,5,
3,204,ESTRUCTURA DE DATOS CON POO,4,3,2,0,5,
3,205,FUNDAMENTOS DE ADMINISTRACIÓN,3,2,2,0,4,
3,206,LÓGICA MÁTEMATICA,2,1,2,0,3,
3,207,INGLES II,3,2,2,0,4,
4,251,CALCULO NUMERICO,3,2,2,0,4,
4,252,COSTOS Y PRESUPUESTOS,4,3,2,0,5,
4,253,ESTADISTICA EXPERIMENTAL,4,3,2,0,5,
4,254,ANÁLISIS Y DISEÑO DE BASE DE DATOS,4,3,2,0,5,
4,255,METODOLOGÍA DE LA INVESTIGACIÓN,4,3,2,0,5,
4,256,FILOSOFIA DE LA CIENCIA Y DE LA TECNOLOGIA,2,2,0,0,2,
4,257,INGLÉS III,3,2,2,0,4,
5,301,IMPLEMENTACIÓN Y GESTIÓN DE BASES DE DATOS,4,3,2,0,5,
5,302,DINÁMICAS DE SISTEMAS,3,2,2,0,4,
5,303,ORGANIZACIÓN Y DIRECCIÓN DE PERSONAS,3,2,2,0,4,
5,304,ANALISIS Y DISEÑO DE SISTEMAS DE INFORMACION,4,3,2,0,5,
5,305,MARKETING DIGITAL,3,2,2,0,4,
5,306,COMPLEMENTO ESPECIALIZADO,4,3,2,0,5,
5,307,ÉTICA Y RESPONSABILIDAD SOCIAL Y AMBIENTAL,4,3,2,0,5,
6,351,REDES Y COMUNICACIONES,4,3,2,0,5,
6,352,INVESTIGACION OPERATIVA I,3,2,2,0,4,
6,353,PLANEAMIENTO ESTRATEGICO DE TI,3,2,2,0,4,
6,354,DESARROLLO DE SISTEMAS DE INFORMACION,4,3,2,0,5,
6,355,HERRAMIENTAS DE DESARROLLO WEB,3,2,2,0,4,
6,356,COMPLEMENTO ESPECIALIZADO,4,3,2,0,5,
6,357,REALIDAD NACIONAL E INTERNACIONAL,3,2,2,0,4,
7,401,CALIDAD DE SERVICIOS DE TI,3,2,2,0,4,
7,402,INVESTIGACION OPERATIVA II,3,2,2,0,4,
7,403,GERENCIA ESTRATEGICA DE TI,3,2,2,0,4,
7,404,INTELIGENCIA DE NEGOCIOS,4,3,2,0,5,
7,405,SISTEMAS DE EXPERTOS,3,2,2,0,4,
7,406,COMPLEMENTO ESPECIALIZADO,4,3,2,0,5,
7,407,TALLER DE ARTE,3,2,2,0,4,
8,451,LEGISLACIÓN INFORMÁTICA,3,2,2,0,4,
8,452,SIMULACIÓN DE SISTEMAS,3,2,2,0,4,
8,453,FORMULACIÓN Y EVALUACIÓN DE PROYECTOS DE TI,3,2,2,0,4,
8,454,INGENIERÍA DE PROCESOS,4,3,2,0,5,
8,455,WEB APPLICATION DEVELOOPMENT (IN ENGLISH),3,2,2,0,4,
8,456,COMPLEMENTO ESPECIALIZADO,4,3,2,0,5,
8,457,EMPRENDIMIENTO E INNOVACIÓN,4,3,2,0,5,
9,501,SEGURIDAD INFORMATICA,3,2,2,0,4,
9,502,GESTION DE CALIDAD,4,3,2,0,5,
9,503,GESTION DE PROYECTOS DE TI,3,2,2,0,4,
9,504,E-BUSSINESS AND CLOUD COMPUTING (IN ENGLISH),3,2,2,0,4,
9,505,PROYECTOS DE TESIS I,4,3,2,0,5,
9,506,COMPLEMENTO ESPECIALIZADO,4,3,2,0,5,
9,507,DEONTOLOGIA PROFESIONAL Y DISCAPACITADO,4,3,2,0,5,
10,551,INFORMATION TECHNOLOGY AUDIT (IN ENGLISH),4,3,2,0,5,
10,552,TOMA DE DESICIONES,3,2,2,0,4,
10,553,OPERATION MANAGEMENT (IN ENGLISH),3,2,2,0,4,
10,554,GESTION DEL CONOCIMIENTO,3,2,2,0,4,
10,555,PROYECTO DE TESIS II,4,3,2,0,5,
10,556,COMPLEMENTO ESPECIALIZADO,4,3,2,0,5,
10,558,PRACTICA PRE PROFESIONAL,8,0,16,0,16,
